prestamo_id,cliente_sk,fecha_sk,producto_sk,monto,tasa_interes,plazo_meses,ingreso_estimado,costo_fondeo_estimado,score_riesgo,max_dias_mora,es_default,margen_estimado
54,55,2791,8,69479.14,0.1399,48,38880.53,15285.41,66.59,136,True,23595.12
55,57,1278,9,59027.9,0.1173,60,34619.86,14166.7,31.41,118,True,20453.16
56,58,1190,7,7013.89,0.2163,24,3034.21,841.67,25.49,102,True,2192.54
57,59,2995,8,15600.71,0.1089,36,5096.75,2574.12,66.97,0,False,2522.63
58,61,2659,8,22388.2,0.1356,72,18215.04,7388.11,44.56,0,False,10826.93
59,62,1126,7,2839.6,0.1766,24,1002.95,340.75,23.58,150,True,662.2
60,63,1847,9,68539.98,0.1019,240,139684.48,65798.38,37.7,104,True,73886.1
61,64,2768,7,9436.7,0.2017,12,1903.38,566.2,32.59,37,False,1337.18
62,65,2781,9,54849.53,0.0734,240,80519.11,52655.55,63.87,57,False,27863.56
63,65,2973,9,52978.4,0.0882,120,46726.95,25429.63,65.86,21,False,21297.32
64,66,2303,9,74366.71,0.1128,120,83885.65,35696.02,50.78,111,True,48189.63
65,67,2036,8,13447.59,0.1067,36,4304.57,2218.85,35.21,358,True,2085.72
66,67,935,9,74514.61,0.0869,60,32376.6,17883.51,31.98,120,True,14493.09
67,69,2461,9,72214.19,0.0782,60,28235.75,17331.41,38.66,50,False,10904.34
68,70,1985,7,6135.7,0.2021,60,6200.12,1840.71,22.85,139,True,4359.41
69,70,743,9,73532.21,0.1009,180,111291.0,52943.19,18.93,142,True,58347.81
70,71,3056,8,45674.16,0.1574,48,28756.45,10048.32,48.46,0,False,18708.13
71,71,2913,9,71827.88,0.0723,60,25965.78,17238.69,46.54,107,True,8727.09
72,72,3043,7,36828.77,0.1902,12,7004.83,2209.73,72.94,0,False,4795.1
73,72,2926,8,108696.96,0.1371,36,44707.06,17935.0,69.39,66,False,26772.06
74,73,1799,8,28114.24,0.1485,24,8349.93,3092.57,31.98,111,True,5257.36
75,74,2200,7,17090.49,0.2664,48,18211.63,4101.72,43.68,60,False,14109.91
76,75,2629,7,7803.59,0.2083,48,6501.95,1872.86,42.16,0,False,4629.09
77,75,2829,9,65334.2,0.0824,60,26917.69,15680.21,38.57,27,False,11237.48
78,77,2286,8,36420.88,0.1351,36,14761.38,6009.45,59.79,146,True,8751.93
79,77,2656,8,35022.36,0.1436,36,15087.63,5778.69,59.89,0,False,9308.94
80,78,2752,9,58510.43,0.0996,180,87414.58,42127.51,59.89,0,False,45287.07
81,79,2708,8,33975.17,0.1526,72,31107.67,11211.81,55.2,0,False,19895.86
82,80,2787,8,10392.31,0.167,72,10413.09,3429.46,68.48,183,True,6983.63
83,81,1364,8,25944.88,0.1134,24,5884.3,2853.94,33.79,99,True,3030.36
84,82,2518,8,20924.78,0.1408,72,17677.25,6905.18,64.95,68,False,10772.07
85,82,2922,7,48920.65,0.2276,60,55671.7,14676.19,64.19,28,False,40995.51
86,84,2892,9,54980.61,0.075,120,41235.46,26390.69,67.64,107,True,14844.77
87,85,2882,9,70504.09,0.0828,180,87566.08,50762.94,66.68,113,True,36803.14
88,85,2860,9,64108.41,0.1046,120,67057.4,30772.04,67.95,142,True,36285.36
89,87,2039,7,10727.84,0.1389,48,5960.39,2574.68,42.16,149,True,3385.71
90,88,2427,9,70406.11,0.1145,180,120922.49,50692.4,47.64,69,False,70230.09
91,89,2941,7,6656.41,0.1437,48,3826.1,1597.54,65.89,15,False,2228.56
92,89,2798,9,52297.41,0.1116,180,87545.86,37654.14,61.53,0,False,49891.72
93,91,2319,8,33322.56,0.1105,72,22092.86,10996.44,58.18,107,True,11096.42
94,92,2687,9,72433.8,0.1185,60,42917.03,17384.11,27.71,99,True,25532.92
95,93,2223,9,62050.19,0.0749,240,92951.18,59568.18,47.49,96,True,33383.0
96,94,3005,9,51212.28,0.086,120,44042.56,24581.89,67.83,0,False,19460.67
97,95,1660,9,61807.94,0.0845,240,104455.42,59335.62,35.84,196,True,45119.8
98,96,2519,8,14322.95,0.1729,48,9905.75,3151.05,33.39,283,True,6754.7
99,96,1456,9,52869.78,0.1149,120,60747.38,25377.49,30.39,145,True,35369.89
100,97,1976,9,62974.84,0.1067,180,100791.23,45341.88,42.84,97,True,55449.35
101,98,1981,9,59190.22,0.0826,120,48891.12,28411.31,24.55,185,True,20479.81
102,98,1518,9,51819.55,0.0738,240,76485.66,49746.77,23.31,95,True,26738.89
103,99,2908,8,12872.49,0.152,48,7826.47,2831.95,25.25,180,True,4994.52
104,100,2501,7,6379.25,0.2278,48,5812.77,1531.02,48.89,93,True,4281.75
105,101,1948,9,60517.35,0.0804,120,48655.95,29048.33,35.15,101,True,19607.62
106,103,875,8,12856.19,0.1474,36,5685.01,2121.27,21.98,112,True,3563.74
107,103,622,8,15121.39,0.0961,36,4359.5,2495.03,21.74,134,True,1864.47
108,104,1866,9,69252.81,0.0745,60,25796.67,16620.67,32.36,104,True,9176.0
109,105,2350,9,74201.41,0.0759,240,112637.74,71233.35,46.59,91,True,41404.39
110,107,2853,7,5929.3,0.2083,36,3705.22,1067.27,72.46,0,False,2637.95
111,110,2710,7,34025.11,0.2445,48,33276.56,8166.03,50.35,200,True,25110.53
112,112,2918,9,68119.53,0.0836,60,28473.96,16348.69,68.65,0,False,12125.27
113,113,2774,7,2903.21,0.1806,60,2621.6,870.96,64.92,120,True,1750.64
114,113,2902,8,41728.75,0.1269,24,10590.76,4590.16,63.43,0,False,6000.6
115,116,1814,7,43191.33,0.1789,24,15453.86,5182.96,29.96,120,True,10270.9
116,116,2916,7,4036.14,0.1933,24,1560.37,484.34,31.72,0,False,1076.03
117,117,2537,7,27526.56,0.255,48,28077.09,6606.37,64.15,184,True,21470.72
118,118,1778,7,13808.32,0.219,12,3024.02,828.5,37.3,0,False,2195.52
119,118,1822,7,10343.2,0.1488,24,3078.14,1241.18,36.97,81,False,1836.96
120,119,3054,9,52248.47,0.12,120,62698.16,25079.27,64.91,0,False,37618.89
121,120,1069,7,22401.06,0.1299,48,11639.59,5376.25,34.8,96,True,6263.34
122,120,2493,7,1076.97,0.2794,60,1504.53,323.09,36.25,0,False,1181.44
123,121,2233,8,46713.31,0.1592,60,37183.79,12846.16,52.52,198,True,24337.63
124,122,2892,9,63762.27,0.095,240,121148.31,61211.78,66.17,79,False,59936.53
125,125,2542,7,2272.33,0.2111,36,1439.07,409.02,60.44,165,True,1030.05
126,126,1169,7,35175.85,0.1973,36,20820.59,6331.65,33.51,100,True,14488.94
127,128,1044,9,64225.23,0.0839,120,53884.97,30828.11,22.8,358,True,23056.86
128,128,2716,8,22972.39,0.159,72,21915.66,7580.89,25.18,15,False,14334.77
129,130,2032,7,22665.65,0.2506,12,5680.01,1359.94,50.08,97,True,4320.07
130,130,2521,7,12287.27,0.2774,12,3408.49,737.24,50.73,118,True,2671.25
131,132,2692,9,65335.3,0.1021,60,33353.67,15680.47,58.74,0,False,17673.2
132,132,2990,7,38285.61,0.2237,24,17128.98,4594.27,61.19,33,False,12534.71
133,133,1961,7,16174.54,0.2445,36,11864.03,2911.42,48.11,195,True,8952.61
134,137,2746,9,71409.14,0.0863,180,92439.13,51414.58,58.41,57,False,41024.55
135,137,2523,7,10445.79,0.1671,60,8727.46,3133.74,63.66,199,True,5593.72
136,138,2572,8,30380.42,0.1384,60,21023.25,8354.62,38.75,189,True,12668.63
137,140,689,8,12336.11,0.098,72,7253.63,4070.92,29.68,88,False,3182.71
447,472,3064,7,4934.57,0.2722,48,5372.76,1184.3,72.29,0,False,4188.46
138,141,2688,8,44477.2,0.1616,36,21562.55,7338.74,63.73,126,True,14223.81
139,142,3045,9,58236.42,0.0983,120,57246.4,27953.48,68.59,0,False,29292.92
140,143,1547,9,55298.59,0.1095,60,30275.98,13271.66,22.76,192,True,17004.32
141,145,3014,8,14604.0,0.1498,48,8750.72,3212.88,68.97,0,False,5537.84
142,146,2866,7,33919.02,0.1818,12,6166.48,2035.14,67.92,67,False,4131.34
143,148,2893,7,11754.69,0.1983,12,2330.96,705.28,69.9,38,False,1625.68
144,149,2540,9,70277.21,0.1013,180,106786.22,50599.59,33.76,107,True,56186.63
145,150,1382,9,59417.68,0.0867,60,25757.56,14260.24,35.54,365,True,11497.32
146,150,2761,9,67640.73,0.0898,240,121482.75,64935.1,32.45,117,True,56547.65
147,154,2892,8,43988.53,0.1522,72,40170.33,14516.21,65.65,0,False,25654.12
148,157,2518,9,78787.17,0.0954,60,37581.48,18908.92,52.03,82,False,18672.56
149,158,2936,7,27870.61,0.2191,12,6106.45,1672.24,64.67,149,True,4434.21
150,159,3040,7,7907.11,0.1799,12,1422.49,474.43,39.48,152,True,948.06
151,161,2832,7,19592.38,0.1632,12,3197.48,1175.54,42.71,93,True,2021.94
152,162,2474,9,58774.49,0.1153,120,67766.99,28211.76,58.45,96,True,39555.23
153,164,1345,8,14267.68,0.1759,36,7529.05,2354.17,28.62,190,True,5174.88
154,167,2935,9,65340.41,0.1031,240,134731.93,62726.79,66.16,0,False,72005.14
155,168,2769,7,16135.17,0.1369,48,8835.62,3872.44,47.22,198,True,4963.18
156,168,2130,9,95669.98,0.0806,60,38555.0,22960.8,42.74,94,True,15594.2
157,169,2744,8,18914.31,0.1314,24,4970.68,2080.57,35.07,14,False,2890.11
158,170,2740,9,66066.67,0.0886,240,117070.14,63424.0,60.84,17,False,53646.14
159,171,1274,7,19288.83,0.1776,12,3425.7,1157.33,22.34,105,True,2268.37
160,173,781,8,35025.48,0.1584,60,27740.18,9632.01,28.98,100,True,18108.17
161,174,1907,7,28641.13,0.1855,24,10625.86,3436.94,35.65,116,True,7188.92
162,174,2054,7,2324.66,0.2098,12,487.71,139.48,37.19,114,True,348.23
163,176,1528,9,62021.8,0.1171,120,72627.53,29770.46,34.96,148,True,42857.07
164,176,1207,8,54310.29,0.1615,36,26313.34,8961.2,36.82,109,True,17352.14
165,177,2948,8,11074.97,0.1567,60,8677.24,3045.62,66.74,0,False,5631.62
166,178,2893,8,39494.78,0.1612,60,31832.79,10861.06,55.83,0,False,20971.73
167,179,1799,7,8936.44,0.1654,48,5912.35,2144.75,40.53,146,True,3767.6
168,180,2866,9,62380.13,0.0797,120,49716.96,29942.46,61.42,0,False,19774.5
169,180,2619,8,96862.59,0.1567,48,60713.47,21309.77,61.24,188,True,39403.7
170,181,1234,9,71969.88,0.1176,120,84636.58,34545.54,30.85,145,True,50091.04
171,182,2813,8,23881.89,0.1591,24,7599.22,2627.01,69.13,0,False,4972.21
172,183,2887,9,54538.86,0.1014,240,110604.81,52357.31,46.96,106,True,58247.5
173,183,2019,7,16140.03,0.1726,36,8357.31,2905.21,52.7,130,True,5452.1
174,184,2694,8,49320.81,0.1076,48,21227.68,10850.58,42.29,39,False,10377.1
175,184,1486,8,25697.41,0.1076,48,11060.17,5653.43,43.48,113,True,5406.74
176,185,2051,8,23834.95,0.1594,24,7598.58,2621.84,44.37,79,False,4976.74
177,185,2804,9,63809.41,0.0733,180,70158.45,45942.78,39.43,53,False,24215.67
178,186,3061,7,47102.34,0.1309,48,24662.79,11304.56,72.15,0,False,13358.23
179,187,3060,7,7972.14,0.1995,48,6361.77,1913.31,70.75,0,False,4448.46
180,188,2551,7,2674.62,0.2745,12,734.18,160.48,21.56,10,False,573.7
181,190,2818,9,51639.47,0.089,240,91918.26,49573.89,64.14,99,True,42344.37
182,190,2938,7,11816.47,0.1968,60,11627.41,3544.94,69.09,0,False,8082.47
183,191,1458,9,56396.54,0.0888,180,75120.19,40605.51,36.89,138,True,34514.68
184,192,2900,9,52041.6,0.085,60,22117.68,12489.98,65.28,93,True,9627.7
185,194,1998,9,63246.79,0.0705,120,44588.99,30358.46,49.49,194,True,14230.53
186,194,3021,7,4663.79,0.1346,12,627.75,279.83,54.59,0,False,347.92
187,197,2381,9,50114.23,0.0816,180,61339.82,36082.25,23.18,106,True,25257.57
188,198,2496,7,11900.01,0.176,48,8377.61,2856.0,40.5,0,False,5521.61
189,199,2920,7,20124.72,0.2441,24,9824.89,2414.97,67.4,51,False,7409.92
190,200,2659,7,19545.39,0.2667,48,20851.02,4690.89,62.26,0,False,16160.13
191,200,2660,9,55995.42,0.1067,120,59747.11,26877.8,58.61,21,False,32869.31
192,201,1948,7,43652.57,0.2056,36,26924.91,7857.46,34.13,136,True,19067.45
193,201,1246,9,63006.99,0.0853,180,80617.44,45365.03,30.65,100,True,35252.41
194,202,422,9,73936.79,0.0975,180,108132.56,53234.49,17.01,95,True,54898.07
195,203,1816,8,13208.01,0.1201,72,9517.69,4358.64,27.32,107,True,5159.05
196,204,2796,8,59592.57,0.0953,48,22716.69,13110.37,60.59,102,True,9606.32
197,205,3064,8,16647.18,0.1592,48,10600.92,3662.38,74.05,0,False,6938.54
198,207,2983,7,27500.5,0.2356,60,32395.59,8250.15,72.24,11,False,24145.44
199,208,2124,8,55747.59,0.1656,72,55390.81,18396.7,48.06,118,True,36994.11
200,210,2398,9,398844.54,0.084,120,335029.41,191445.38,48.49,96,True,143584.03
201,211,2931,9,68905.88,0.0843,180,87131.49,49612.23,52.51,0,False,37519.26
202,212,3061,7,46214.23,0.2718,48,50244.11,11091.42,66.31,0,False,39152.69
203,216,2633,8,39919.91,0.1679,24,13405.11,4391.19,27.14,176,True,9013.92
204,216,1504,8,62462.27,0.1578,48,39426.18,13741.7,25.89,192,True,25684.48
205,217,1078,9,52288.7,0.1167,120,61020.91,25098.58,25.25,100,True,35922.33
206,218,1921,9,51715.66,0.0711,240,73539.67,49647.03,32.96,114,True,23892.64
207,220,2936,9,57058.73,0.094,60,26817.6,13694.1,42.37,95,True,13123.5
208,220,2642,8,22041.44,0.1373,60,15131.45,6061.4,44.32,0,False,9070.05
209,221,2822,8,27528.7,0.1537,24,8462.32,3028.16,62.07,0,False,5434.16
210,221,2473,9,76149.13,0.086,60,32744.13,18275.79,58.81,199,True,14468.34
211,222,2873,9,55727.02,0.1124,240,125274.34,53497.94,33.88,110,True,71776.4
212,222,1898,9,60204.18,0.1051,180,94911.89,43347.01,34.56,132,True,51564.88
213,225,2857,9,62387.61,0.0974,120,60765.53,29946.05,41.97,85,False,30819.48
214,227,1275,9,56141.34,0.1026,240,115202.03,53895.69,22.12,74,False,61306.34
215,227,365,7,28787.79,0.2725,48,31378.69,6909.07,26.08,100,True,24469.62
216,228,2928,8,10463.63,0.1507,48,6307.48,2302.0,50.95,88,False,4005.48
217,229,2307,7,23541.23,0.1643,36,11603.47,4237.42,51.16,94,True,7366.05
218,230,2696,8,48366.79,0.1151,72,33402.11,15961.04,56.69,0,False,17441.07
219,231,2697,8,17139.58,0.1567,48,10743.09,3770.71,20.64,98,True,6972.38
220,231,2282,8,16411.9,0.1001,36,4928.49,2707.96,20.63,107,True,2220.53
221,235,2825,8,108095.8,0.17,48,73505.14,23781.08,50.72,17,False,49724.06
222,236,2962,9,50938.3,0.114,120,58069.66,24450.38,69.13,0,False,33619.28
223,239,1600,9,55095.44,0.0881,120,48539.08,26445.81,38.52,48,False,22093.27
224,239,2866,8,26081.68,0.1689,72,26431.17,8606.95,41.08,29,False,17824.22
225,240,2632,9,55267.87,0.1104,60,30507.86,13264.29,65.99,107,True,17243.57
226,240,3014,8,71163.78,0.0966,48,27497.68,15656.03,65.38,0,False,11841.65
227,241,2136,9,60345.51,0.1177,180,106540.0,43448.77,38.55,191,True,63091.23
228,242,2096,7,20403.85,0.2203,12,4494.97,1224.23,31.91,181,True,3270.74
229,243,2779,7,33576.38,0.1636,36,16479.29,6043.75,60.7,85,False,10435.54
230,244,2661,9,52325.0,0.1103,60,28857.24,12558.0,64.14,190,True,16299.24
231,245,2886,9,69480.35,0.1107,60,38457.37,16675.28,63.2,0,False,21782.09
232,246,1563,9,70894.33,0.0831,240,117826.38,68058.56,20.32,88,False,49767.82
233,247,1299,8,26884.59,0.1394,72,22486.27,8871.91,38.94,115,True,13614.36
234,248,2886,7,16321.83,0.2194,12,3581.01,979.31,54.05,54,False,2601.7
235,249,2092,9,76255.52,0.1099,180,125707.22,54903.97,37.47,114,True,70803.25
236,251,3057,9,64231.78,0.0712,60,22866.51,15415.63,69.9,30,False,7450.88
237,252,2375,7,46396.38,0.2542,36,35381.88,8351.35,44.82,88,False,27030.53
238,253,2851,8,22305.08,0.1342,72,17960.05,7360.68,70.01,48,False,10599.37
239,253,2801,9,127448.23,0.0797,60,50788.12,30587.58,65.27,39,False,20200.54
240,256,2774,8,22199.43,0.1776,24,7885.24,2441.94,68.33,0,False,5443.3
241,257,2508,9,61897.82,0.1149,240,142241.19,59421.91,41.83,103,True,82819.28
242,257,3030,8,28773.52,0.1141,72,19698.35,9495.26,46.29,0,False,10203.09
243,258,2950,7,3005.69,0.2161,60,3247.65,901.71,67.97,18,False,2345.94
244,261,3067,8,14863.37,0.1091,60,8107.97,4087.43,72.84,0,False,4020.54
245,262,2817,8,29845.4,0.1742,48,20796.27,6565.99,46.5,120,True,14230.28
246,264,2437,7,10108.24,0.1641,24,3317.52,1212.99,51.52,81,False,2104.53
247,264,2268,8,11922.09,0.1523,24,3631.47,1311.43,51.37,111,True,2320.04
248,267,2480,8,89877.49,0.09,48,32355.9,19773.05,62.55,115,True,12582.85
249,267,3037,7,34824.15,0.138,48,19222.93,8357.8,65.35,53,False,10865.13
250,268,2638,8,15173.91,0.1453,60,11023.85,4172.83,59.9,92,True,6851.02
251,270,2184,8,24888.49,0.1524,36,11379.02,4106.6,53.46,142,True,7272.42
252,271,2303,9,97809.06,0.1112,120,108763.67,46948.35,41.91,117,True,61815.32
253,273,2534,7,3650.12,0.158,24,1153.44,438.01,42.08,2,False,715.43
254,274,666,9,60826.39,0.1123,240,136616.07,58393.33,17.13,102,True,78222.74
255,276,2445,8,48715.16,0.1748,24,17030.82,5358.67,27.5,9,False,11672.15
256,276,1051,9,74910.78,0.0831,60,31125.43,17978.59,25.65,116,True,13146.84
257,277,2071,7,44564.64,0.1329,24,11845.28,5347.76,50.95,0,False,6497.52
258,278,2913,9,55308.62,0.0723,240,79976.26,53096.28,60.88,54,False,26879.98
259,278,2848,9,67377.21,0.1045,120,70409.18,32341.06,62.36,105,True,38068.12
260,279,2515,8,17614.76,0.1734,72,18326.4,5812.87,45.56,120,True,12513.53
261,281,2874,9,60648.5,0.1002,240,121539.59,58222.56,55.07,0,False,63317.03
262,281,2568,7,12709.21,0.2349,48,11941.57,3050.21,61.21,100,True,8891.36
263,282,2532,9,71846.56,0.1152,240,165534.47,68972.7,39.92,0,False,96561.77
264,283,3041,7,19103.28,0.1726,12,3297.23,1146.2,74.64,0,False,2151.03
265,283,3040,8,82803.23,0.1039,48,34413.02,18216.71,71.35,72,False,16196.31
266,284,1832,9,63677.84,0.0755,60,24038.38,15282.68,41.79,114,True,8755.7
267,285,2643,9,82669.87,0.1145,60,47328.5,19840.77,53.2,113,True,27487.73
268,285,2934,8,82796.38,0.1161,36,28837.98,13661.4,53.61,119,True,15176.58
269,286,972,8,13536.02,0.135,24,3654.73,1488.96,34.12,99,True,2165.77
270,287,2638,9,55623.41,0.1109,60,30843.18,13349.62,45.94,137,True,17493.56
271,289,2393,8,15504.01,0.0957,72,8902.4,5116.32,49.45,92,True,3786.08
272,292,2883,8,28172.45,0.1252,24,7054.38,3098.97,58.26,132,True,3955.41
273,293,2869,7,19222.17,0.1426,48,10964.33,4613.32,39.7,150,True,6351.01
274,294,2861,7,40071.21,0.1374,60,27528.92,12021.36,51.44,120,True,15507.56
275,295,2205,9,65908.18,0.0869,120,57274.21,31635.93,34.39,101,True,25638.28
276,296,2453,9,62189.0,0.1003,240,124751.13,59701.44,51.6,91,True,65049.69
277,298,2716,7,39902.35,0.2166,36,25928.55,7182.42,46.07,132,True,18746.13
278,300,2715,9,63041.8,0.0755,60,23798.28,15130.03,45.4,189,True,8668.25
279,302,3014,7,10783.93,0.1709,12,1842.97,647.04,71.11,0,False,1195.93
280,304,2273,7,20305.11,0.1473,12,2990.94,1218.31,26.25,360,True,1772.63
281,304,2503,9,55632.26,0.0986,60,27426.7,13351.74,24.1,145,True,14074.96
282,305,1291,9,68202.45,0.0773,240,105440.99,65474.35,34.03,119,True,39966.64
283,305,2079,9,66704.53,0.0703,120,46893.28,32018.17,35.92,115,True,14875.11
284,307,2320,9,82369.42,0.0924,120,76109.34,39537.32,19.6,63,False,36572.02
285,308,2046,7,20139.07,0.207,12,4168.79,1208.34,28.37,0,False,2960.45
286,309,2729,8,18858.8,0.1567,36,8865.52,3111.7,57.92,92,True,5753.82
287,309,2419,7,11383.28,0.1784,12,2030.78,683.0,58.78,119,True,1347.78
288,310,2720,8,28748.24,0.1046,48,12028.26,6324.61,66.99,66,False,5703.65
289,313,2536,9,68266.69,0.11,120,75093.36,32768.01,31.89,187,True,42325.35
290,314,2771,7,31239.54,0.2396,12,7484.99,1874.37,67.81,20,False,5610.62
291,314,2671,7,3631.81,0.2316,12,841.13,217.91,69.0,41,False,623.22
681,750,3023,7,14218.08,0.1425,24,4052.15,1706.17,68.16,0,False,2345.98
292,315,3033,9,62761.5,0.0988,120,62008.36,30125.52,23.48,0,False,31882.84
293,317,2707,7,10186.46,0.2786,24,5675.9,1222.38,69.58,93,True,4453.52
294,319,1258,9,60079.05,0.1134,180,102194.46,43256.92,36.72,103,True,58937.54
295,320,3014,7,13917.1,0.2389,12,3324.8,835.03,53.97,0,False,2489.77
296,322,3011,8,15912.04,0.1181,60,9396.06,4375.81,73.32,16,False,5020.25
297,324,1244,8,89635.46,0.1178,48,42236.23,19719.8,35.06,99,True,22516.43
298,325,2416,8,15456.94,0.1511,48,9342.17,3400.53,49.65,44,False,5941.64
299,325,1721,7,16465.47,0.2018,36,9968.2,2963.78,50.03,21,False,7004.42
300,326,1699,9,54224.41,0.0967,60,26217.5,13013.86,29.0,119,True,13203.64
301,326,2785,7,20299.38,0.1718,60,17437.17,6089.81,30.74,142,True,11347.36
302,327,2776,8,78509.23,0.127,48,39882.69,17272.03,53.71,110,True,22610.66
303,328,3002,8,11030.27,0.1484,24,3273.78,1213.33,35.18,0,False,2060.45
304,329,2779,7,11320.82,0.2533,60,14337.82,3396.25,68.71,0,False,10941.57
305,329,3033,8,47548.02,0.1494,48,28414.7,10460.56,66.85,0,False,17954.14
306,331,2287,8,16635.83,0.1599,36,7980.21,2744.91,44.72,148,True,5235.3
307,331,1578,7,10906.32,0.2547,12,2777.84,654.38,45.84,77,False,2123.46
308,332,2572,7,13585.26,0.2327,48,12645.16,3260.46,45.08,190,True,9384.7
309,332,2076,9,61986.13,0.0737,240,91367.56,59506.68,38.81,101,True,31860.88
310,333,1349,7,16522.52,0.12,36,5948.11,2974.05,38.7,120,True,2974.06
311,334,3047,9,72143.5,0.0945,120,68175.61,34628.88,56.94,0,False,33546.73
